id,name,country
"Q15428352","Spezial-Brauerei Schierling","Germany"
"Q13569403","Brouwerij Sint-Arnoldus","Belgium"
"Q13492587","Brouwerij Moens","Belgium"
"Q13492598","Brouwerij Verschueren","Belgium"
"Q13492603","Brouwerij Verstraeten","Belgium"
"Q15545089","Evil Twin Brewing","United States"
"Q13516749","Henry Weinhard's","United States"
"Q13569393","Brouwerij De Vijf Helmen","Belgium"
"Q13569396","Brouwerij De Vuyst","Belgium"
"Q13569400","Brouwerij Den Engel","Belgium"
"Q13569404","Brouwerij Sint-Pieter","Belgium"
"Q13569410","Brouwerij Vita","Belgium"
"Q13569411","Brouwerij Vooruit","Belgium"
"Q13569408","Brouwerij Vertongen","Belgium"
"Q13569412","Brouwerij Wagon","Belgium"
"Q13573965","Dommelsch Brewery","Netherlands"
"Q13585803","Hebridean Brewing Company","United Kingdom"
"Q15618229","Castle Brewery Frýdlant","Czech Republic"
"Q15789692","Brauerei Bayerischer Hof","Germany"
"Q15730745","Marktplatz 5 (Weißenburg in Bayern)","Germany"
"Q13729028","Huisbrouwerij Den Tseut","Belgium"
"Q15787245","Bayerische Brauerei Kaiserslautern","Germany"
"Q15789697","Hackert Brewery","Germany"
"Q13845077","Kinn Bryggeri","Norway"
"Q15789692","Brauerei Bayerischer Hof","German Reich"
"Q13861230","Haandbryggeriet","Norway"
"Q15787245","Bayerische Brauerei Kaiserslautern","German Reich"
"Q14532175","Eisenacher Brauerei","Germany"
"Q14540983","Auerhahn Brauerei","Germany"
"Q14541100","Quellen-Brauerei","Germany"
"Q14545625","Gasthaus Goldene Harfe (Erlangen)","Germany"
"Q14685020","New Belgium Brewing Company","United States"
"Q2239073","Hertog Jan","Netherlands"
"Q2241466","Schloss Haus","Germany"
"Q1942919","Mohren-Brewery","Austria"
"Q1965945","Nassauische Privatbrauerei","Germany"
"Q1967378","Lefebvre brewery","Belgium"
"Q1970693","Mikkeller","Denmark"
"Q1964257","Namibia Breweries Limited","Namibia"
"Q1981667","Brewmeister Brewery","United Kingdom"
"Q1980462","Neufang Kulturfabrik","Germany"
"Q1980896","Neumarkter Lammsbräu","Germany"
"Q1984997","Budelse Brouwerij","Netherlands"
"Q1987425","De Struise brewers","Belgium"
"Q1991863","Texelse Bierbrouwerij","Netherlands"
"Q1999697","Brauerei Albert Egger","Switzerland"
"Q2005819","Nussdorfer Bierbrauerei","Austria"
"Q2018665","Brouwerij Boelens","Belgium"
"Q2021756","Brouwerij De Geyter","Belgium"
"Q2029392","Brouwerij Tielemans","Belgium"
"Q2034455","Osnabrücker Aktien Brauerei","Germany"
"Q2034445","Slot Ostende","Netherlands"
"Q2037266","Huisbrouwerij Sint Canarus","Belgium"
"Q2048171","Palmbräu","Germany"
"Q2068870","Brasserie des Légendes","Belgium"
"Q2072541","Royal Swinkels","Netherlands"
"Q2080347","Brouwerij Jack-Op","Belgium"
"Q2081393","CRAFT","Netherlands"
"Q2084311","Pflugbrauerei Hörvelsingen","Germany"
"Q2097895","Brouwerij Egmond","Netherlands"
"Q2098621","Brouwerij Walrave","Belgium"
"Q2099630","Birra Ichnusa","Italy"
"Q2104945","Brasserie Caracole","Belgium"
"Q2106627","Pott's Brauerei","Germany"
"Q2111040","Braumanufaktur Härke","Germany"
"Q2111045","Ernst Barre Private Brewery","Germany"
"Q2110996","Privatbrauerei Schmucker","Germany"
"Q2111033","Privatbrauerei Eibau","Germany"
"Q2111039","Privatbrauerei Hofmann","Germany"
"Q2111037","Privatbrauerei Gebr. Mayer","Germany"
"Q2111049","Privatbrauerei Specht","German Democratic Republic"
"Q2111099","Private Traditionsbrauerei Meyer","German Democratic Republic"
"Q2117061","De Dolle Brouwers","Belgium"
"Q2120918","Püls-Bräu","Germany"
"Q2125485","Radeberger Group","Germany"
"Q2128955","Faxe Brewery","Denmark"
"Q2152135","Riegeler Brauerei","Germany"
"Q2156377","La Binchoise","Belgium"
"Q2164364","Brouwerij Omer Vander Ghinste","Belgium"
"Q2167041","Rosenbrauerei","Germany"
"Q2168868","Rotochsenbrauerei","Germany"
"Q2169487","Museumbrouwerij de Roos","Netherlands"
"Q2174901","Rugenbräu","Switzerland"
"Q2174139","Brouwerij Wilderen","Belgium"
"Q2185912","Brasserie des Rocs","Belgium"
"Q2195318","Brouwerij Rubbens","Belgium"
"Q2196984","Brasserie de la Senne","Belgium"
"Q2110734","Maximus Brouwerij","Netherlands"
"Q2206530","Piedboeuf Brewery","Belgium"
"Q2207286","Urthel brewery","Belgium"
"Q2208517","Brouwerij De 7 Deugden","Netherlands"
"Q2210147","Brewery Domus","Belgium"
"Q2215264","Zuid-Hollandsche Bierbrouwerij","Netherlands"
"Q2233541","Scherdel Bier","Germany"
"Q2238648","Schlegel-Scharpenseel-Brauerei","Germany"
"Q2240106","Schloss Au","Germany"
"Q2243672","Schloss Söldenau","Germany"
"Q2244449","Schlossbrauerei Herrngiersdorf","Germany"
"Q2244456","Schlossbrauerei Hirschau","Germany"
"Q2244899","Schlossbrauerei Reuth","Germany"
"Q2244896","Schlossbrauerei Rheder","Germany"
"Q2250646","Gasthaus zur Sonne, Böckingen","Germany"
"Q2249745","De Boog, Utrecht","Netherlands"
"Q2252562","Schwaben Bräu","Germany"
